2024-04-15 11:42:11,383 - INFO - New City Created with the deatils- name=Waverly, Mapped State ID=49, Remapped Country ID=US.
2024-04-15 11:42:12,573 - INFO - New City Created with the deatils- name=Shenandoah, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:42:13,782 - INFO - New City Created with the deatils- name=Berea, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:42:14,980 - INFO - New City Created with the deatils- name=Berryville, Mapped State ID=10, Remapped Country ID=US.
2024-04-15 11:42:16,290 - INFO - New City Created with the deatils- name=Bloomington, Mapped State ID=20, Remapped Country ID=US.
2024-04-15 11:42:17,580 - INFO - New City Created with the deatils- name=Marysville , Mapped State ID=54, Remapped Country ID=US.
2024-04-15 11:42:18,773 - INFO - New City Created with the deatils- name=Bloomington, Mapped State ID=30, Remapped Country ID=US.
2024-04-15 11:42:19,963 - INFO - New City Created with the deatils- name=Booneville, Mapped State ID=24, Remapped Country ID=US.
2024-04-15 11:42:21,182 - INFO - New City Created with the deatils- name=Booneville, Mapped State ID=31, Remapped Country ID=US.
2024-04-15 11:42:22,378 - INFO - New City Created with the deatils- name=Booneville, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:42:23,564 - INFO - New City Created with the deatils- name=Boonville, Mapped State ID=21, Remapped Country ID=US.
2024-04-15 11:42:24,775 - INFO - New City Created with the deatils- name=Bristol, Mapped State ID=45, Remapped Country ID=US.
2024-04-15 11:42:26,068 - INFO - New City Created with the deatils- name=Bristol, Mapped State ID=49, Remapped Country ID=US.
2024-04-15 11:42:27,354 - INFO - New City Created with the deatils- name=Bristol, Mapped State ID=53, Remapped Country ID=US.
2024-04-15 11:42:28,560 - ERROR - Error creating City Bristol: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:42:30,458 - INFO - New City Created with the deatils- name=Marysville , Mapped State ID=11, Remapped Country ID=US.
2024-04-15 11:42:31,794 - INFO - New City Created with the deatils- name=Brookings, Mapped State ID=44, Remapped Country ID=US.
2024-04-15 11:42:32,956 - ERROR - Error creating City Buchanan: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:42:34,154 - ERROR - Error creating City Cadiz: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:42:35,380 - INFO - New City Created with the deatils- name=Carbondale, Mapped State ID=23, Remapped Country ID=US.
2024-04-15 11:42:36,668 - INFO - New City Created with the deatils- name=Carbondale, Mapped State ID=45, Remapped Country ID=US.
2024-04-15 11:42:37,875 - INFO - New City Created with the deatils- name=Carrara, Mapped State ID=75, Remapped Country ID=AU.
2024-04-15 11:42:39,081 - INFO - New City Created with the deatils- name=Centerville, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:42:40,348 - INFO - New City Created with the deatils- name=Centerville, Mapped State ID=51, Remapped Country ID=US.
2024-04-15 11:42:41,577 - INFO - New City Created with the deatils- name=Charlestown, Mapped State ID=21, Remapped Country ID=US.
2024-04-15 11:42:42,775 - INFO - New City Created with the deatils- name=Charlestown, Mapped State ID=53, Remapped Country ID=US.
2024-04-15 11:42:43,976 - INFO - New City Created with the deatils- name=Marysville , Mapped State ID=23, Remapped Country ID=US.
